,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,genre,duration
0,1,1.0,Bodak Yellow,Cardi B,13.0,20898872,-4.8%,https://www.youtube.com/watch?v=PEGccV-NOm8,"['pop', 'rap', 'post-teen pop', 'dance pop', 'pop rap']",223712
1,2,3.0,Look What You Made Me Do,Taylor Swift,5.0,18173260,30.5%,https://www.youtube.com/watch?v=3tmd-ClpJxA,"['post-teen pop', 'pop']",211853
2,3,2.0,Despacito (feat. Daddy Yankee),Luis Fonsi,37.0,15641572,6.2%,https://www.youtube.com/watch?v=kJQP7kiw5Fk,[],Unknown
3,4,5.0,Rake It Up (feat. Nicki Minaj),Yo Gotti,13.0,11896586,3.7%,https://www.youtube.com/watch?v=OrSadmwmmAs,"['southern hip hop', 'trap', 'pop', 'rap', 'hip pop', 'queens hip hop', 'post-teen pop', 'tennessee hip hop', 'hip hop', 'memphis hip hop', 'gangster rap', 'dance pop', 'dirty south rap', 'pop rap']",276333
4,5,6.0,Bank Account,21 Savage,12.0,11575677,1.9%,https://www.youtube.com/watch?v=sV2t3tW_JTQ,"['trap', 'atl hip hop', 'rap']",220306
5,6,4.0,1-800-273-8255 (feat. Alessia Cara & Khalid),Logic,6.0,10523531,-19.5%,https://www.youtube.com/watch?v=Kb24RrHIbFk,[],Unknown
6,7,7.0,The Race,Tay-K,10.0,10331480,2.5%,https://www.youtube.com/watch?v=688GhNbtIlk,"['southern hip hop', 'trap', 'rap', 'pittsburgh rap', 'hip hop', 'pop rap']",335613
7,8,8.0,I Get the Bag (feat. Migos),Gucci Mane,6.0,9729395,10%,https://www.youtube.com/watch?v=uo14xGYwWd4,"['southern hip hop', 'trap', 'atl hip hop', 'rap', 'hip hop', 'gangster rap', 'dirty south rap', 'pop rap']",233087
8,9,10.0,XO TOUR Llif3,Lil Uzi Vert,28.0,8712294,15.6%,https://www.youtube.com/watch?v=WrsFXgQk5UI,[],171473
9,10,9.0,The Weekend,SZA,9.0,7408604,-1.7%,https://www.youtube.com/watch?v=cMD63TwzB1o,"['gangster rap', 'chicano rap', 'west coast rap']",245786
